log_freight_cost,freight_vs_median_ratio,is_high_cost_shipment,log_weight,vendor_delay_rate,vendor_shipment_count,is_major_vendor,country_delay_rate,country_shipment_vol,is_high_volume_country,mode_delay_rate,composite_risk_score,order_month,order_quarter,order_dayofweek,is_end_of_quarter,is_weekend_order,freight_cost_per_kg,freight_vs_vendor_avg,vendor_mode_delay_rate,lead_time_days,vendor_avg_freight,vendor_freight_std,mode_air,mode_air_charter,mode_ocean,mode_truck,is_delayed
6.661010394415601,0.13294478125204973,0,2.6390573296152584,0.2782577393808495,2778,1,0.247460757156048,1083,1,0.21675118599705545,0.5992407835736867,7.0,3.0,2.0,0,0,60.026153846153846,0.059861151197144996,0.26333841463414637,92.0,13035.833497923397,18090.23454960664,True,False,False,False,0
8.41682021726945,0.7703178466196053,0,5.883322388488279,0.2782577393808495,2778,1,0.10319767441860465,688,1,0.21675118599705545,0.5319180117193102,7.0,3.0,2.0,0,0,12.629888268156424,0.3468516225464427,0.26333841463414637,92.0,13035.833497923397,18090.23454960664,True,False,False,False,0
7.411423348461525,0.28175080136737163,0,5.147494476813453,0.21158690176322417,397,0,0.247460757156048,1083,1,0.21675118599705545,0.5034003767244492,7.0,3.0,2.0,0,0,9.671228070175438,0.28545978470910804,0.21374045801526717,92.0,5793.390482954545,8270.745116209046,True,False,False,False,0
9.680847624382482,2.7270870264095586,0,7.526178913346146,0.2782577393808495,2778,1,0.10319767441860465,688,1,0.21675118599705545,0.5319180117193102,7.0,3.0,2.0,0,0,8.629142857142856,1.227927619860281,0.26333841463414637,92.0,13035.833497923397,18090.23454960664,True,False,False,False,0
10.724391861699543,7.743228520245227,1,8.934718614016768,0.2782577393808495,2778,1,0.10319767441860465,688,1,0.21675118599705545,0.5319180117193102,7.0,3.0,2.0,0,0,5.988152832674572,3.486549594795007,0.26333841463414637,92.0,13035.833497923397,18090.23454960664,True,False,False,False,0
8.68633156397994,1.0086487195584748,0,6.22455842927536,0.2782577393808495,2778,1,0.16666666666666666,1194,1,0.21675118599705545,0.5615368747289139,7.0,3.0,2.0,0,0,11.74686507936508,0.4541650521190778,0.26333841463414637,92.0,13035.833497923397,18090.23454960664,True,False,False,False,0
8.677721328597745,0.9999999999999999,0,5.796057750765372,0.0,15,0,0.25329428989751096,683,0,0.21675118599705545,0.2019631002869225,7.0,3.0,2.0,0,0,7.263901636359817,0.550733335353234,0.0,92.0,672.1633333333333,644.3557170021334,True,False,False,False,0
8.73446513855114,1.0583944030782046,0,7.2991214627108,0.2782577393808495,2778,1,0.19845857418111754,519,0,0.21675118599705545,0.576373098215876,7.0,3.0,2.0,0,0,4.203254397834912,0.4765640801556444,0.26333841463414637,92.0,13035.833497923397,18090.23454960664,True,False,False,False,0
8.677721328597745,0.9999999999999999,0,6.954638409633417,0.2782577393808495,2778,1,0.16666666666666666,1194,1,0.21675118599705545,0.5615368747289139,7.0,3.0,2.0,0,0,7.263901636359817,0.550733335353234,0.26333841463414637,92.0,13035.833497923397,18090.23454960664,True,False,False,False,0
8.677721328597745,0.9999999999999999,0,6.467698726104354,0.09818181818181818,275,0,0.25329428989751096,683,0,0.21675118599705545,0.3431010510910042,7.0,3.0,2.0,0,0,7.263901636359817,0.550733335353234,0.0989010989010989,78.0,7181.721840490797,14413.02800836265,True,False,False,False,0
